state,station,MRI (yrs),R-squared,min wind threshold,coeff a,coeff b,coeff c,coeff d,min wind threshold,coeff a,coeff b,coeff c,coeff d
FL, KFMY,   5, 0.995,   0, -2.1643e-07, -1.1753e-05, -2.1256e-03,  1.9445e-01,    ,            ,            ,            ,            
FL, KFMY,  10, 0.995,   0, -1.7671e-07, -6.6745e-06, -2.4602e-03,  2.1559e-01,    ,            ,            ,            ,            
FL, KFMY,  25, 0.996,   0, -1.4455e-07, -1.1631e-06, -2.8524e-03,  2.4330e-01,    ,            ,            ,            ,            
FL, KFMY,  50, 0.996,   0, -1.2905e-07,  2.3186e-06, -3.1212e-03,  2.6413e-01,    ,            ,            ,            ,            
FL, KFMY, 100, 0.997,   0, -1.1812e-07,  5.3473e-06, -3.3718e-03,  2.8486e-01,    ,            ,            ,            ,            
FL, KFMY, 500, 0.997,   0, -1.0273e-07,  1.1085e-05, -3.9031e-03,  3.3273e-01,    ,            ,            ,            ,            
FL, KFPR,   1, 0.993,   0, -1.4257e-06,  3.2188e-05, -1.4373e-03,  1.3115e-01,    ,            ,            ,            ,            
FL, KFPR,   5, 0.995,   0, -4.5777e-07, -2.2145e-06, -1.3622e-03,  1.7300e-01,    ,            ,            ,            ,            
FL, KFPR,  10, 0.995,   0, -2.6259e-07, -1.0183e-05, -1.3568e-03,  1.9084e-01,    ,            ,            ,            ,            
FL, KFPR,  25, 0.996,   0, -1.0328e-07, -1.6856e-05, -1.3806e-03,  2.1440e-01,    ,            ,            ,            ,            
FL, KFPR,  50, 0.996,   0, -2.9881e-08, -1.9819e-05, -1.4205e-03,  2.3224e-01,    ,            ,            ,            ,            
FL, KFPR, 100, 0.996,   0,  1.8553e-08, -2.1617e-05, -1.4734e-03,  2.5010e-01,    ,            ,            ,            ,            
FL, KFPR, 500, 0.996,   0,  7.6478e-08, -2.3174e-05, -1.6247e-03,  2.9158e-01,    ,            ,            ,            ,            
FL, KFXE,   1, 0.994,   0, -1.6127e-06,  2.8405e-05, -8.6258e-04,  1.2998e-01,    ,            ,            ,            ,            
FL, KFXE,   5, 0.994,   0, -1.0312e-06,  2.5613e-05, -1.2249e-03,  1.7151e-01,    ,            ,            ,            ,            
FL, KFXE,  10, 0.994,   0, -9.0306e-07,  2.6456e-05, -1.3576e-03,  1.8917e-01,    ,            ,            ,            ,            
FL, KFXE,  25, 0.994,   0, -7.6954e-07,  2.6875e-05, -1.4878e-03,  2.1229e-01,    ,            ,            ,            ,            
FL, KFXE,  50, 0.994,   0, -6.8030e-07,  2.6113e-05, -1.5464e-03,  2.2958e-01,    ,            ,            ,            ,            
FL, KFXE, 100, 0.994,   0, -5.9423e-07,  2.4146e-05, -1.5673e-03,  2.4670e-01,    ,            ,            ,            ,            
FL, KFXE, 500, 0.993,   0, -3.9437e-07,  1.4577e-05, -1.4681e-03,  2.8578e-01,    ,            ,            ,            ,            
FL, KGIF,   1, 0.997,   0, -5.6661e-07, -2.4149e-05, -1.2480e-04,  1.2192e-01,    ,            ,            ,            ,            
FL, KGIF,   5, 0.998,   0, -9.8122e-08, -3.4457e-05, -2.8726e-04,  1.6239e-01,    ,            ,            ,            ,            
FL, KGIF,  10, 0.998,   0, -3.4968e-08, -3.3822e-05, -4.0231e-04,  1.7984e-01,    ,            ,            ,            ,            
FL, KGIF,  25, 0.998,   0,  6.3642e-09, -3.1699e-05, -5.6036e-04,  2.0289e-01,    ,            ,            ,            ,            
FL, KGIF,  50, 0.998,   0,  2.1618e-08, -2.9768e-05, -6.7728e-04,  2.2029e-01,    ,            ,            ,            ,            
FL, KGIF, 100, 0.998,   0,  2.9797e-08, -2.7813e-05, -7.8933e-04,  2.3766e-01,    ,            ,            ,            ,            
